school_year,dpi_true_id,school_name,accurate_agency_type,total_enrollment
2016-17,3619_0277,Morgandale Elementary,Traditional Public,569
2016-17,3619_0052,Morse Mid,Traditional Public,290
2016-17,3619_0283,Neeskara Elementary,Traditional Public,358
2016-17,3619_0027,New School for Community Service,Traditional Public,148
2016-17,3619_1141,Next Door Charter,Non-Instrumentality Charter,320
2016-17,3619_0289,Ninety-Fifth Street Elementary,Traditional Public,389
2016-17,3619_0419,North Division High 0419,Traditional Public,400
2016-17,3619_0474,NOVA Tech-Northwest Opportunities Vocational Academy Technical High,Non-Instrumentality Charter,76
2016-17,3619_1072,NOVA-Northwest Opportunities Vocational Academy,Partnership,72
2016-17,3619_0840,Obama School of Career and Technical Education,Traditional Public,682
2016-17,3619_0301,Parkview Elementary,Traditional Public,459
2016-17,3619_0307,Pierce Elementary,Traditional Public,424
2016-17,3619_0325,Pratt Elementary,Traditional Public,263
2016-17,3619_0458,Project STAY-Supporting Teachers and Youth,Traditional Public,236
2016-17,3619_0026,Pulaski High,Traditional Public,851
2016-17,3619_0435,Reagan College Preparatory High,Traditional Public,1304
2016-17,3619_0313,Riley Elementary,Traditional Public,477
2016-17,3619_0194,River Trail Elementary,Traditional Public,459
2016-17,3619_0029,Riverside High,Traditional Public,1495
2016-17,3619_0177,Rogers Street Academy,Traditional Public,643
2016-17,3619_0059,Roosevelt Middle,Traditional Public,341
2016-17,3619_1074,Shalom High,Partnership,124
2016-17,3619_0319,Sherman Elementary,Traditional Public,324
2016-17,3619_0107,Siefert Elementary,Traditional Public,266
2016-17,3619_0032,South Division High,Traditional Public,1229
2016-17,3619_1086,Southeastern,Partnership,20
2016-17,3619_0312,Starms Discovery,Traditional Public,311
2016-17,3619_0149,Starms Early Childhood,Traditional Public,293
2016-17,3619_0343,Story Elementary,Traditional Public,396
2016-17,3619_0344,Stuart Elementary,Traditional Public,301
2016-17,3619_0360,Thoreau Elementary,Traditional Public,448
2016-17,3619_0154,Thurston Woods Elementary,Traditional Public,396
2016-17,3619_0365,Townsend Street Elementary,Traditional Public,295
2016-17,3619_0433,Transition High,Traditional Public,156
2016-17,3619_0368,Trowbridge Street Elementary,Traditional Public,264
2016-17,3619_0875,Universal Academy for the College Bound,Non-Instrumentality Charter,1074
2016-17,3619_0387,Victory Elementary,Traditional Public,570
2016-17,3619_0390,Vieau Elementary,Traditional Public,732
2016-17,3619_0033,Vincent High,Traditional Public,991
2016-17,3619_0204,Wedgewood Park School,Traditional Public,922
2016-17,3619_0130,Westside Academy,Traditional Public,374
2016-17,3619_0397,Whitman Elementary,Traditional Public,414
2016-17,3619_0398,Whittier Elementary,Instrumentality Charter,218
2016-17,3619_0424,WHS Information Technology,Traditional Public,662
2016-17,3619_0399,Wisconsin Conservatory of Lifelong Learning,Traditional Public,549
2016-17,3619_0295,Zablocki Elementary,Traditional Public,419
2016-17,8106_1251,Milwaukee Academy of Science,2r/2x Charter,1057
2016-17,8127_0400,Milwaukee Collegiate Academy,2r/2x Charter,297
2016-17,8128_0800,Milwaukee Math and Science Academy,2r/2x Charter,377
2016-17,8129_0100,Milwaukee Scholars Charter School,2r/2x Charter,656
2016-17,8133_0100,Rocketship Southside Community Prep,2r/2x Charter,509
2016-17,8107_1279,School for Early Development and Achievement (SEDA),2r/2x Charter,45
2016-17,8001_8121,Seeds of Health Elementary Program,2r/2x Charter,450
2016-17,8001_8115,Tenor High School,2r/2x Charter,236
2016-17,8001_8124,Veritas High,2r/2x Charter,252
2016-17,8113_8728,Woodlands School,2r/2x Charter,351
2016-17,8132_0100,Woodlands School East,2r/2x Charter,247
2017-18,8123_0100,Bruce Guadalupe,2r/2x Charter,1288
2017-18,8114_0100,Capitol West Academy,2r/2x Charter,253
2017-18,8105_1211,Central City Cyberschool,2r/2x Charter,393
2017-18,8109_0100,Darrell Lynn Hines Academy,2r/2x Charter,286
2017-18,8101_1056,Downtown Montessori,2r/2x Charter,285
2017-18,8131_0400,Escuela Verde,2r/2x Charter,120
2017-18,3619_0316,Academy of Accelerated Learning,Traditional Public,625
2017-18,3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,Instrumentality Charter,494
2017-18,3619_0075,Alcott Elementary,Traditional Public,324
2017-18,3619_0073,Allen-Field Elementary,Traditional Public,624
2017-18,3619_0413,Alliance School of Milwaukee,Instrumentality Charter,203
2017-18,3619_0124,Andrew Douglas School,Traditional Public,234
2017-18,3619_1063,ASSATA High,Partnership,113
2017-18,3619_0434,Audubon Technology and Communication High,Traditional Public,378
2017-18,3619_0041,Audubon Technology and Communication Middle,Traditional Public,582
2017-18,3619_0077,Auer Avenue Elementary,Traditional Public,261
2017-18,3619_0432,Banner Preparatory School of Milwaukee,Partnership,62
2017-18,3619_0188,Barbee Elementary,Traditional Public,331
2017-18,3619_0081,Barton Elementary,Traditional Public,283
2017-18,3619_0012,Bay View High,Traditional Public,920
2017-18,3619_0112,Bay View Montessori School,Traditional Public,282
2017-18,3619_0356,Bethune Academy,Traditional Public,562
2017-18,3619_0014,Bradley Technology High,Traditional Public,909
2017-18,3619_0089,Brown Street Academy,Traditional Public,322
2017-18,3619_0092,Browning Elementary,Traditional Public,294
2017-18,3619_0093,Bruce Elementary,Traditional Public,253
2017-18,3619_0094,Bryant Elementary,Traditional Public,225
2017-18,3619_0095,Burbank Elementary,Traditional Public,649
2017-18,3619_0098,Burdick Elementary,Traditional Public,630
2017-18,3619_0407,Carmen High School of Science and Technology South Campus,Non-Instrumentality Charter,365
2017-18,3619_0451,Carmen High School of Science and Technology Southeast Campus,Non-Instrumentality Charter,367
2017-18,3619_0444,Carmen Middle/High School of Science and Technology Northwest Campus,Non-Instrumentality Charter,653
2017-18,3619_0108,Carson Academy,Traditional Public,483
2017-18,3619_0178,Carver Academy,Traditional Public,415
2017-18,3619_0104,Cass Street Elementary,Traditional Public,402
2017-18,3619_0110,Clarke Street Elementary,Traditional Public,297
2017-18,3619_0114,Clemens Elementary,Traditional Public,293
2017-18,3619_0113,Clement Avenue Elementary,Traditional Public,462
2017-18,3619_0116,Congress Elementary,Traditional Public,737
2017-18,3619_0117,Cooper Elementary,Traditional Public,444
